Lapangan Pekerjaan Utama,Year,Employment
"Pertanian, Kehutanan dan Perikanan",2011,42456452.0
Industri Pengolahan,2011,14202713.0
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2011,192331.0
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2011,174278.0
Konstruksi,2011,5645120.0
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2011,19685724.0
Transportasi dan Pergudangan,2011,4761920.0
Penyediaan Akomodasi dan Penyediaan Makan Minum,2011,4425069.0
Informasi dan Komunikasi,2011,904607.0
Jasa Keuangan dan Asuransi,2011,1070775.0
Jasa Perusahaan,2011,986606.0
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2011,3992884.0
Jasa Kesehatan dan Kegiatan Sosial,2011,1270096.0
Jasa Lainnya,2011,5402669.0
"Pertanian, Kehutanan dan Perikanan",2012,41665576.0
Industri Pengolahan,2012,14692702.0
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2012,252457.0
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2012,156463.0
Konstruksi,2012,6148016.0
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2012,21014463.0
Transportasi dan Pergudangan,2012,4701583.0
Penyediaan Akomodasi dan Penyediaan Makan Minum,2012,4083379.0
Informasi dan Komunikasi,2012,548404.0
Jasa Keuangan dan Asuransi,2012,1477978.0
Jasa Perusahaan,2012,1225395.0
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2012,4002213.0
Jasa Kesehatan dan Kegiatan Sosial,2012,1293631.0
Jasa Lainnya,2012,5515969.0
"Pertanian, Kehutanan dan Perikanan",2013,40764720.0
Industri Pengolahan,2013,15335471.0
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2013,218057.0
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2013,157033.0
Konstruksi,2013,6952928.0
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2013,21392607.0
