Year,Manufacture_Output_Billions_of_USD
1983,10.88401545
1984,12.78137197
1985,13.95971474
1986,13.39876435
1987,12.86636877
1988,15.57361379
1989,17.13122662
1990,21.11460148
1991,24.43981626
1992,27.85411248
1993,35.24331679
1994,41.30084461
1995,48.78088372
1996,58.24446057
1997,57.80551381
1998,23.85725509
1999,36.39318201
2000,37.39335078
2001,49.34481254
2002,62.51997999
2003,66.3298929
2004,72.08339203
2005,78.34946319
2006,100.3938758
2007,116.9077672
2008,141.9163854
2009,142.208892
2010,166.4123969
2011,194.3177076
2012,196.8918626
2013,191.8918599
2014,187.740778
2015,180.6570394
2016,191.2489555
2017,204.7489659
2018,207.0284102
2019,220.5022806
2020,210.3963031
2021,228.3248982
2022,241.8727292
2023,255.9618837
